"Group","Mouse","Tumor","ID","Day","Volume","death","last_day_obs","sac_day"
"JQ1+ XRT","991","L","991:L",-1,147.9949824,0,35,NA
"JQ1+ XRT","965","R","965:R",-1,686.60025,0,35,NA
"JQ1+ XRT","965","L","965:L",-1,254.7875442,0,35,NA
"JQ1+ XRT","956","R","956:R",-1,447.55510365,0,35,NA
"JQ1+ XRT","956","L","956:L",-1,104.202697126667,0,35,NA
"JQ1+ XRT","972(no tag)","R","972(no tag):R",-1,533.88599832,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",-1,645.350384,0,35,NA
"JQ1+ XRT","954","R","954:R",-1,244.669696993333,0,35,NA
"JQ1+ XRT","954","L","954:L",-1,896.898580693333,0,35,NA
"JQ1+ XRT","999","R","999:R",-1,50.34590592,0,35,NA
"JQ1+ XRT","999","L","999:L",-1,1422.1688,0,35,NA
"JQ1+ XRT","847","R","847:R",-1,1020.6803145,0,19,22
"JQ1+ XRT","847","L","847:L",-1,418.626876586667,1,19,22
"JQ1+ XRT","848","R","848:R",-1,105.65027376,1,19,22
"JQ1+ XRT","848","L","848:L",-1,1559.76859050667,0,19,22
"JQ1+ XRT","996","R","996:R",-1,39.4867643733333,0,35,NA
"JQ1+ XRT","996","L","996:L",-1,239.263511893333,0,35,NA
"JQ1+ XRT","967","R","967:R",-1,152.70590556,0,35,NA
"JQ1+ XRT","967","L","967:L",-1,380.094404266667,0,35,NA
"JQ1","970","R","970:R",3,200.470758693333,0,35,NA
"JQ1","970","L","970:L",3,386.254581343333,0,35,NA
"JQ1","935","R","935:R",3,353.81542608,0,35,NA
"JQ1","935","L","935:L",3,323.03926244,0,35,NA
"JQ1","934 (dead)","R","934 (dead):R",3,244.85449646,0,3,6
"JQ1","934 (dead)","L","934 (dead):L",3,682.369257523333,1,3,6
"JQ1","977","R","977:R",3,1063.723356,0,19,22
"JQ1","977","L","977:L",3,85.997535,1,19,22
"JQ1","961","R","961:R",3,34.7766597066667,0,35,NA
"JQ1","961","L","961:L",3,265.24987034,0,35,NA
"JQ1","936","R","936:R",3,741.85220496,1,19,22
"JQ1","936","L","936:L",3,790.05509856,0,19,22
"JQ1","971","R","971:R",3,255.13557552,0,35,NA
"JQ1","971","L","971:L",3,790.05509856,0,35,NA
"JQ1","952","R","952:R",3,3167.50050936,1,19,22
"JQ1","952","L","952:L",3,925.99693191,0,19,22
"JQ1","958","R","958:R",3,316.131762746667,0,35,NA
