"Group","Mouse","Tumor","ID","Day","Volume","death","last_day_obs","sac_day","Baseline","Drug1","Drug2"
"JQ1+ XRT","999","L","999:L",-1,1422.1688,0,35,NA,1422.1688,1,1
"JQ1+ XRT","847","R","847:R",-1,1020.6803145,0,19,22,1020.6803145,1,1
"JQ1+ XRT","847","L","847:L",-1,418.626876586667,1,19,22,418.626876586667,1,1
"JQ1+ XRT","848","R","848:R",-1,105.65027376,1,19,22,105.65027376,1,1
"JQ1+ XRT","848","L","848:L",-1,1559.76859050667,0,19,22,1559.76859050667,1,1
"JQ1+ XRT","996","R","996:R",-1,39.4867643733333,0,35,NA,39.4867643733333,1,1
"JQ1+ XRT","996","L","996:L",-1,239.263511893333,0,35,NA,239.263511893333,1,1
"JQ1+ XRT","967","R","967:R",-1,152.70590556,0,35,NA,152.70590556,1,1
"JQ1+ XRT","967","L","967:L",-1,380.094404266667,0,35,NA,380.094404266667,1,1
"Vehicle","980","R","980:R",3,145.35626456,0,35,NA,107.45865,0,0
"Vehicle","980","L","980:L",3,824.820670403333,0,35,NA,479.575978466667,0,0
"Vehicle","973","R","973:R",3,535.51317772,0,35,NA,457.92251544,0,0
"Vehicle","973","L","973:L",3,228.68489376,0,35,NA,157.817708333333,0,0
"Vehicle","955","R","955:R",3,205.52249536,1,19,22,128.680331626667,0,0
"Vehicle","955","L","955:L",3,2145.64985615333,0,19,22,1674.53775292,0,0
"Vehicle","992","R","992:R",3,95.91440703,0,35,NA,59.49570264,0,0
"Vehicle","992","L","992:L",3,437.73268596,0,35,NA,112.06776808,0,0
"Vehicle","982","R","982:R",3,176.889585296667,0,35,NA,154.981203463333,0,0
"Vehicle","982","L","982:L",3,196.123091666667,0,35,NA,147.801841,0,0
"Vehicle","951","R","951:R",3,578.283333333333,0,19,22,348.738657333333,0,0
"Vehicle","951","L","951:L",3,215.179228333333,1,19,22,127.43078328,0,0
"Vehicle","953","R","953:R",3,946.097741866667,0,35,NA,1061.36940266667,0,0
