"Group","Mouse","Tumor","ID","Day","Volume","death","last_day_obs","sac_day"
"JQ1","970","L","970:L",9,418.59376581,0,35,NA
"JQ1","935","L","935:L",9,767.58058153,0,35,NA
"JQ1","934 (dead)","L","934 (dead):L",9,NA,1,3,6
"JQ1","977","L","977:L",9,77.95241226,1,19,22
"JQ1","961","L","961:L",9,378.543694333333,0,35,NA
"JQ1","936","L","936:L",9,999.108080656667,1,19,22
"JQ1","971","L","971:L",9,677.486727083333,0,35,NA
"JQ1","952","L","952:L",9,1652.7738069,1,19,22
"JQ1","958","L","958:L",9,721.274919366666,0,35,NA
"JQ1+ XRT","991","L","991:L",9,365.624970266667,0,35,NA
"JQ1+ XRT","965","L","965:L",9,583.65807552,0,35,NA
"JQ1+ XRT","956","L","956:L",9,644.3063811,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",9,369.734297163333,0,35,NA
"JQ1+ XRT","954","L","954:L",9,441.254053613333,0,35,NA
"JQ1+ XRT","999","L","999:L",9,666.512728,0,35,NA
"JQ1+ XRT","847","L","847:L",9,477.5810475,1,19,22
"JQ1+ XRT","848","L","848:L",9,2183.13913150667,1,19,22
"JQ1+ XRT","996","L","996:L",9,359.90348416,0,35,NA
"JQ1+ XRT","967","L","967:L",9,345.32911764,0,35,NA
"JQ1","970","L","970:L",12,1343.949516,0,35,NA
"JQ1","935","L","935:L",12,671.317338816667,0,35,NA
"JQ1","934 (dead)","L","934 (dead):L",12,NA,1,3,6
"JQ1","977","L","977:L",12,2909.68215552,1,19,22
"JQ1","961","L","961:L",12,56.1650544,0,35,NA
"JQ1","936","L","936:L",12,923.9136,1,19,22
"JQ1","971","L","971:L",12,241.513832666667,0,35,NA
"JQ1","952","L","952:L",12,3063.60266175,1,19,22
"JQ1","958","L","958:L",12,394.42941225,0,35,NA
"JQ1+ XRT","991","L","991:L",12,20.3833728,0,35,NA
"JQ1+ XRT","965","L","965:L",12,491.76201441,0,35,NA
"JQ1+ XRT","956","L","956:L",12,147.79861308,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",12,380.997081,0,35,NA
"JQ1+ XRT","954","L","954:L",12,144.90589122,0,35,NA
"JQ1+ XRT","999","L","999:L",12,31.8971562,0,35,NA
"JQ1+ XRT","847","L","847:L",12,913.884228573333,1,19,22
"JQ1+ XRT","848","L","848:L",12,153.908565333333,1,19,22
"JQ1+ XRT","996","L","996:L",12,21.45117376,0,35,NA
"JQ1+ XRT","967","L","967:L",12,165.090262333333,0,35,NA
"JQ1","970","L","970:L",15,697.062919446667,0,35,NA
"JQ1","935","L","935:L",15,1066.732732,0,35,NA
"JQ1","934 (dead)","L","934 (dead):L",15,NA,1,3,6
"JQ1","977","L","977:L",15,3308.30361901333,1,19,22
"JQ1","961","L","961:L",15,66.0931273333333,0,35,NA
"JQ1","936","L","936:L",15,1177.00107964333,1,19,22
"JQ1","971","L","971:L",15,405.7888725,0,35,NA
"JQ1","952","L","952:L",15,2851.03420735,1,19,22
"JQ1","958","L","958:L",15,415.285141006667,0,35,NA
"JQ1+ XRT","991","L","991:L",15,22.05546048,0,35,NA
"JQ1+ XRT","965","L","965:L",15,656.53632,0,35,NA
"JQ1+ XRT","956","L","956:L",15,161.83670528,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",15,438.175922603333,0,35,NA
"JQ1+ XRT","954","L","954:L",15,194.61477906,0,35,NA
"JQ1+ XRT","999","L","999:L",15,52.6547385,0,35,NA
"JQ1+ XRT","847","L","847:L",15,1498.4089734,1,19,22
"JQ1+ XRT","848","L","848:L",15,121.616277813333,1,19,22
"JQ1+ XRT","996","L","996:L",15,41.7121231933333,0,35,NA
"JQ1+ XRT","967","L","967:L",15,144.575585723333,0,35,NA
"JQ1","970","L","970:L",19,898.48695231,0,35,NA
"JQ1","935","L","935:L",19,1254.07622666667,0,35,NA
"JQ1","934 (dead)","L","934 (dead):L",19,NA,1,3,6
"JQ1","977","L","977:L",19,5032.76097575333,1,19,22
"JQ1","961","L","961:L",19,100.01055744,0,35,NA
"JQ1","936","L","936:L",19,1543.21487684,1,19,22
"JQ1","971","L","971:L",19,801.93362907,0,35,NA
"JQ1","952","L","952:L",19,4753.81701225,1,19,22
"JQ1","958","L","958:L",19,438.8494458,0,35,NA
"JQ1+ XRT","991","L","991:L",19,23.32145196,0,35,NA
"JQ1+ XRT","965","L","965:L",19,431.779175833333,0,35,NA
"JQ1+ XRT","956","L","956:L",19,132.692948093333,0,35,NA
